forecase,reality,interpolation
230.48000000000002,264.0669,33.58689999999996
960.5,380.5082,579.9918
303.61999999999995,344.90480000000014,41.28480000000019
543.56,619.5540999999996,75.99409999999966
410.63,539.6081999999999,128.9781999999999
248.69,273.96150000000017,25.271500000000174
574.85,372.18929999999995,202.66070000000008
575.28,428.8925,146.3875
341.09,489.9916000000002,148.9016000000002
316.45,469.07249999999993,152.62249999999995
94.73,155.25800000000004,60.528000000000034
80.48,302.87299999999993,222.39299999999992
483.86,441.65279999999996,42.20720000000006
412.98,386.67830000000026,26.301699999999755
137.78,478.1106000000003,340.33060000000035
119.32,179.91320000000007,60.59320000000008
544.28,358.36339999999996,185.91660000000002
620.24,683.3591999999995,63.11919999999952
633.96,299.82620000000014,334.1337999999999
290.13,270.96479999999997,19.165200000000027
93.3,481.42859999999973,388.1285999999997
125.84,119.51180000000005,6.328199999999953
199.17000000000002,272.34909999999985,73.17909999999983
282.47,260.98009999999994,21.48990000000009
316.66,372.06729999999993,55.40729999999991
515.01,550.5197000000001,35.509700000000066
264.65,510.1880000000001,245.53800000000012
205.45,292.4584999999999,87.00849999999991
449.93,606.7585999999998,156.82859999999977
475.82,302.1762000000001,173.64379999999989
216.54000000000002,261.50669999999985,44.96669999999983
737.75,586.1287000000003,151.62129999999968
439.02,245.37839999999994,193.64160000000004
157.35,448.78489999999977,291.43489999999974
589.95,311.9256,278.02440000000007
293.56,545.8925,252.33250000000004
520.37,273.518,246.85200000000003
77.8,118.31469999999997,40.514699999999976
77.78,394.3692999999997,316.58929999999975
77.02,230.78290000000015,153.76290000000017
380.5,247.54579999999999,132.95420000000001
145.5,347.80849999999987,202.30849999999987
86.7,471.2849,384.5849
670.11,328.4020000000002,341.7079999999998
383.69,276.3211999999999,107.36880000000008
901.33,680.3295,221.0005
520.68,388.2752999999999,132.40470000000005
687.42,474.81269999999984,212.60730000000012
193.03000000000003,165.98079999999993,27.0492000000001
572.58,410.83009999999985,161.7499000000002
790.79,412.4991000000001,378.29089999999985
320.54,357.74080000000015,37.20080000000013
224.97000000000003,160.85339999999997,64.11660000000006
407.47,257.5197,149.95030000000003
650.67,150.40470000000005,500.2652999999999
86.9,250.25279999999998,163.35279999999997
348.38,685.8328999999999,337.4528999999999
585.0,266.5733000000001,318.4266999999999
66.82,371.02229999999986,304.20229999999987
76.02,323.5843,247.5643
179.46000000000004,209.82320000000004,30.363200000000006
458.49,316.8521,141.6379
93.99,495.0521999999999,401.0621999999999
81.27,373.5359999999999,292.2659999999999
786.48,496.12549999999993,290.3545000000001
542.59,498.93749999999966,43.65250000000037
347.73,293.7822,53.94780000000003
474.0,290.0461000000002,183.9538999999998
372.4,438.3514000000001,65.95140000000015
490.22,562.6856999999998,72.46569999999974
68.54,128.25660000000002,59.716600000000014
120.19,222.46910000000003,102.27910000000003
238.67000000000002,210.8055,27.86450000000002
256.94,436.7557999999998,179.8157999999998
74.8,431.68939999999986,356.88939999999985
364.35,356.88999999999993,7.460000000000093
427.64,245.76409999999998,181.8759
233.54000000000002,321.9163999999999,88.37639999999988
731.54,411.95009999999974,319.5899000000002
338.49,244.4278,94.06220000000002
57.45,373.7251,316.2751
677.7,340.6411,337.05890000000005
266.41,271.88999999999993,5.4799999999999045
183.5,196.2526999999999,12.75269999999989
86.5,250.83980000000008,164.33980000000008
244.24,163.47429999999997,80.76570000000004
89.43,199.7618,110.33179999999999
634.4,782.2819000000001,147.8819000000001
555.12,476.8392,78.2808
670.26,495.91440000000006,174.34559999999993
418.1,294.9348999999999,123.16510000000011
201.33000000000004,177.25250000000003,24.077500000000015
88.82,109.03659999999999,20.2166
343.97,259.3942,84.57580000000002
188.56,279.0721000000001,90.51210000000009
410.64,253.34269999999992,157.29730000000006
796.09,514.1627999999998,281.9272000000002
163.29,236.81490000000002,73.52490000000003
390.36,294.23290000000014,96.12709999999987
972.2,669.9747000000002,302.22529999999983
159.44,219.47410000000008,60.03410000000008
371.56,379.88109999999983,8.32109999999983
85.32,189.98209999999995,104.66209999999995
383.09,473.42640000000017,90.3364000000002
720.1,295.82109999999983,424.2789000000002
421.28,256.7589999999999,164.52100000000007
126.0,325.81839999999994,199.81839999999994
146.29,322.1186000000001,175.82860000000008
869.69,556.6912000000001,312.99879999999996
255.45,503.2224999999999,247.77249999999992
320.8,373.48269999999985,52.68269999999984
684.62,463.5510999999997,221.06890000000033
360.18,267.3167000000001,92.86329999999992
504.16,366.9332000000001,137.2267999999999
198.38,252.40999999999997,54.02999999999997
679.61,396.2703999999999,283.33960000000013
365.9,299.3653,66.53469999999999
440.9,397.45570000000004,43.44429999999994
63.2,385.2479999999998,322.04799999999983
152.7,250.25879999999995,97.55879999999996
153.2,555.4846000000002,402.28460000000024
357.45,482.0664000000004,124.6164000000004
439.5,512.9776,73.47760000000005
590.0,252.40639999999996,337.59360000000004
292.91,444.40529999999995,151.49529999999993
345.12,219.44300000000004,125.67699999999996
90.94,213.16480000000013,122.22480000000013
318.38,263.4329,54.94709999999998
320.38,379.2502,58.87020000000001
372.6,331.0555000000001,41.544499999999914
640.67,491.8904000000001,148.77959999999985
428.28,559.3021,131.02210000000002
344.04,188.67279999999982,155.3672000000002
154.38,397.9499,243.56990000000002
119.46,307.1863,187.72630000000004
144.08,267.6913,123.6113
85.57,224.39809999999989,138.8280999999999
620.45,753.4921,133.0421
452.79,305.4728999999998,147.3171000000002
249.87,411.88610000000017,162.01610000000016
675.02,544.0598000000002,130.96019999999976
984.16,312.31219999999985,671.8478000000001
228.0,242.3359000000001,14.335900000000095
138.22,274.0217999999999,135.80179999999993
62.78,321.3273,258.54729999999995
157.15,265.15869999999984,108.00869999999983
716.1,473.01730000000003,243.0827
336.09,331.8219999999999,4.268000000000086
467.91,569.3560000000002,101.4460000000002
172.1,512.5187000000001,340.41870000000006
348.71,509.43489999999997,160.7249
502.43,533.9297000000003,31.499700000000246
135.81,280.48389999999995,144.67389999999995
99.95,205.8557,105.90570000000001
381.82,340.4226,41.397400000000005
324.04,350.0764999999998,26.036499999999762
97.43,175.27989999999997,77.84989999999996
76.67,116.88210000000005,40.21210000000005
473.08,438.19099999999986,34.889000000000124
366.56,375.56749999999994,9.007499999999936
719.26,542.2096000000001,177.05039999999985
63.87,216.84769999999997,152.97769999999997
837.19,641.4677000000006,195.72229999999945
719.82,365.1439000000001,354.67609999999996
205.0,547.4218999999998,342.4218999999998
630.48,401.6791,228.8009
103.1,248.47519999999992,145.37519999999992
304.75999999999993,324.1482,19.38820000000004
517.97,251.5722,266.3978
145.98,329.8226999999999,183.8426999999999
70.26,230.72059999999993,160.46059999999994
93.23,251.69309999999996,158.46309999999994
428.0,268.96489999999994,159.03510000000006
333.12,286.3443000000002,46.7756999999998
284.02,520.8037000000002,236.78370000000018
128.35,331.0564000000001,202.70640000000012
311.97,406.2935000000002,94.3235000000002
741.14,527.3778000000001,213.7621999999999
210.5,263.62429999999995,53.12429999999995
359.95,630.4379000000002,270.48790000000025
871.13,575.1875999999999,295.94240000000013
411.87,375.72810000000004,36.141899999999964
123.3,328.5458000000002,205.2458000000002
553.96,705.1843999999999,151.22439999999983
115.48,343.7512999999999,228.27129999999988
725.08,613.1915999999997,111.88840000000039
620.4,386.8159,233.58409999999998
86.02,235.3682,149.34820000000002
235.68,233.92089999999985,1.75910000000016
282.1,256.1397999999999,25.9602000000001
561.0,261.2199999999999,299.7800000000001
362.48,493.33619999999985,130.85619999999983
158.59,441.7789999999999,283.18899999999985
333.33,320.26959999999997,13.060400000000016
157.43,337.9399000000003,180.5099000000003
221.60000000000002,208.56830000000002,13.0317
866.89,360.7446999999998,506.1453000000002
283.99,310.3673000000001,26.377300000000105
173.89,408.28679999999997,234.39679999999998
240.14,532.8734,292.73339999999996
189.38,305.5444000000001,116.16440000000011
370.2,302.08449999999993,68.11550000000005
743.07,726.4668000000001,16.6031999999999
287.75,240.10880000000014,47.641199999999856
421.78,321.3765000000001,100.4034999999999
290.16,262.19809999999995,27.96190000000007
562.37,193.59199999999998,368.778
392.41,237.4619,154.9481
59.75,416.44929999999994,356.69929999999994
169.02,277.6768000000002,108.65680000000017
666.56,526.9027000000001,139.65729999999985
196.10000000000002,222.2736,26.173599999999965
484.88,392.09900000000016,92.78099999999984
202.41000000000003,425.83790000000005,223.42790000000002
861.3,798.3481999999999,62.95180000000005
613.36,516.8239999999998,96.53600000000017
249.49,299.43060000000014,49.94060000000013
404.65,430.62599999999986,25.975999999999885
807.73,517.4615999999999,290.26840000000016
185.28000000000003,258.8082,73.52819999999997
270.24,247.45550000000014,22.784499999999866
574.85,414.5254999999998,160.32450000000023
242.15000000000003,310.46339999999987,68.31339999999983
67.57,164.03670000000005,96.46670000000006
58.06,236.18789999999984,178.12789999999984
291.01,383.6060999999999,92.59609999999992
53.99,182.25589999999988,128.26589999999987
272.02,488.4178999999998,216.39789999999982
419.4,319.2348,100.16519999999997
551.9,362.87609999999995,189.02390000000003
270.35,202.7383999999999,67.61160000000012
78.09,389.68270000000007,311.59270000000004
247.99,375.3207000000002,127.3307000000002
52.37,226.44109999999984,174.07109999999983
844.03,589.2548000000004,254.7751999999996
762.64,504.9809999999999,257.6590000000001
105.0,256.24809999999985,151.24809999999985
753.86,331.9537,421.9063
630.32,516.3751000000001,113.94489999999996
199.33000000000004,379.5236999999998,180.19369999999975
349.52,428.8591999999999,79.33919999999989
333.14,220.21950000000004,112.92049999999995
957.31,531.2848999999999,426.02510000000007
353.28,159.4029999999999,193.87700000000007
196.03000000000003,362.95559999999995,166.92559999999992
352.06,321.8481999999999,30.211800000000096
234.63,209.24310000000008,25.386899999999912
261.5,379.80570000000006,118.30570000000006
111.98,163.23590000000007,51.25590000000007
704.07,466.07280000000026,237.9971999999998
435.69,699.3828999999998,263.69289999999984
749.79,554.7139999999996,195.07600000000036
259.08,422.8912999999998,163.8112999999998
92.21,136.30809999999997,44.098099999999974
617.83,513.6930999999998,104.1369000000002
518.98,308.84150000000017,210.13849999999985
424.21,250.54049999999995,173.66950000000003
308.0,259.55300000000005,48.446999999999946
144.43,249.26630000000006,104.83630000000005
194.12,179.65279999999996,14.467200000000048
721.74,471.6394999999997,250.1005000000003
568.41,716.8194,148.4094
846.82,719.0077999999994,127.81220000000064
811.07,626.0316000000003,185.0383999999998
452.95,413.9239,39.026099999999985
186.5,264.06200000000007,77.56200000000007
985.5,693.0919000000002,292.40809999999976
225.47000000000003,256.96250000000003,31.492500000000007
364.38,411.21719999999993,46.83719999999994
437.8,602.5781999999997,164.77819999999969
257.4,296.8849999999999,39.4849999999999
93.3,496.6902999999999,403.3902999999999
802.94,578.7835999999999,224.1564000000002
482.89,424.66679999999985,58.22320000000013
123.72,308.29019999999997,184.57019999999997
240.11,330.09409999999997,89.98409999999996
992.44,583.7144999999999,408.7255000000001
109.3,214.07170000000002,104.77170000000002
59.72,193.18170000000003,133.46170000000004
517.33,440.80219999999974,76.5278000000003
607.61,539.7234999999998,67.88650000000018
419.46,323.1943000000001,96.26569999999987
489.81,325.84670000000006,163.96329999999995
642.93,491.1203000000004,151.80969999999957
122.68,259.7445000000001,137.06450000000007
299.87999999999994,262.6831999999999,37.19680000000005
334.55,538.0878999999998,203.53789999999975
408.13,702.8367000000002,294.7067000000002
836.0,721.7218,114.27819999999997
486.75,353.16349999999994,133.58650000000006
730.28,550.9857999999999,179.29420000000005
108.36,288.25339999999994,179.89339999999993
614.5,526.2086,88.29139999999995
345.23,199.73459999999994,145.49540000000007
84.24,190.34840000000008,106.10840000000009
167.75,310.37139999999994,142.62139999999994
805.35,473.5865999999999,331.7634000000001
432.12,475.45620000000025,43.33620000000025
698.95,664.2079999999997,34.7420000000003
92.66,266.48689999999993,173.82689999999994
483.14,485.5948,2.4548000000000343
729.45,329.22989999999993,400.2201000000001
85.14,218.2362,133.0962
148.69,251.1115999999999,102.4215999999999
410.49,333.52520000000015,76.96479999999985
565.59,310.35269999999997,255.23730000000006
658.04,539.9591,118.08089999999993
406.96,334.64659999999986,72.31340000000012
598.26,383.49490000000003,214.76509999999996
98.43,255.33780000000002,156.9078
90.48,156.2092,65.7292
771.09,609.6169999999997,161.4730000000003
146.54,316.81109999999995,170.27109999999996
211.94,225.04100000000005,13.101000000000056
459.0,388.9145000000001,70.08549999999991
534.89,524.6212999999999,10.26870000000008
649.89,470.4709999999998,179.4190000000002
239.40000000000003,197.08849999999995,42.31150000000008
372.6,384.3964000000001,11.796400000000062
524.0,503.45020000000017,20.549799999999834
78.2,231.4724000000001,153.27240000000012
173.33,224.72379999999993,51.39379999999991
147.94,297.03500000000014,149.09500000000014
184.64,514.5172,329.8772
272.65,405.17509999999993,132.52509999999995
634.34,223.6968999999999,410.6431000000001
136.1,462.38740000000007,326.28740000000005
910.11,571.5199,338.5901
344.38,370.44379999999995,26.063799999999958
235.25,302.7073000000001,67.45730000000009
82.67,157.39909999999998,74.72909999999997
239.34000000000003,422.5380000000002,183.19800000000015
155.57,270.2333000000001,114.6633000000001
407.37,386.8406,20.52940000000001
143.95,290.3512000000002,146.4012000000002
803.55,439.8541999999999,363.6958000000001
325.11,247.36309999999992,77.7469000000001
309.77,268.5472,41.22280000000001
570.58,461.45770000000033,109.12229999999971
381.03,225.00139999999993,156.02860000000004
613.59,608.6422000000001,4.947799999999916
273.22,359.13880000000006,85.91880000000003
253.2,229.0075000000001,24.19249999999988
218.16000000000003,193.24369999999993,24.916300000000092
